   ALL_TARGET   ALL_PREDICTED
   0.0000000000   0.0000000000
   0.0000000000  34.5799980164
 138.3199920654  51.8699989319
 ************** 103.7399978638
 ************** 708.8899536133
   0.0000000000   0.0000000000
  51.8699989319 674.3099975586
 ************** **************
   0.0000000000   0.0000000000
 **************   0.0000000000
 ************** 968.2399291992
 ************** 328.5099792480
 466.8299865723 **************
   0.0000000000 121.0299911499
   0.0000000000 622.4399414062
 ************** **************
 ************** **************
 ************** **************
  34.5799980164 **************
 414.9599914551 **************
 138.3199920654   0.0000000000
 172.8999938965   0.0000000000
 760.7600097656 **************
 743.4700317383 **************
 ************** **************
 ************** **************
 ************** **************
 ************** 553.2799682617
 242.0599822998  51.8699989319
 **************   0.0000000000
   0.0000000000 **************
 605.1499633789 **************
 380.3800048828 138.3199920654
  51.8699989319 224.7699890137
 ************** 155.6099853516
 ************** **************
 **************   0.0000000000
   0.0000000000 432.2500000000
   0.0000000000   0.0000000000
 950.9499511719  34.5799980164
 449.5399780273 103.7399978638
 ************** **************
 657.0199584961   0.0000000000
 138.3199920654 587.8599853516
   0.0000000000   0.0000000000
 553.2799682617 **************
 293.9299926758 881.7899780273
   0.0000000000 **************
 ************** **************
 207.4799957275 **************
 138.3199920654  86.4499969482
 **************   0.0000000000
 328.5099792480 **************
 ************** **************
 ************** **************
 ************** **************
 ************** **************
 ************** **************
   0.0000000000 **************
 ************** **************
 **************   0.0000000000
   0.0000000000  17.2899990082
   0.0000000000   0.0000000000
 ************** **************
 **************   0.0000000000
 276.6399841309   0.0000000000
   0.0000000000  34.5799980164
 345.7999877930 242.0599822998
  51.8699989319 **************
 **************  34.5799980164
 207.4799957275 **************
 ************** **************
  86.4499969482  86.4499969482
 ************** **************
 **************   0.0000000000
 ************** 103.7399978638
  17.2899990082 **************
 ************** 968.2399291992
 587.8599853516 **************
 ************** **************
 812.6299438477 **************
 ************** **************
  17.2899990082 **************
 ************** **************
 ************** **************
 ************** 570.5699462891
 ************** **************
 ************** **************
  17.2899990082 **************
 ************** 605.1499633789
 847.2099609375 **************
 ************** 484.1199645996
 432.2500000000 **************
  34.5799980164 **************
 449.5399780273   0.0000000000
 **************   0.0000000000
   0.0000000000 432.2500000000
  51.8699989319 207.4799957275
  86.4499969482   0.0000000000
  17.2899990082 **************
 **************  51.8699989319
   0.0000000000 **************
 ************** **************
 207.4799957275 103.7399978638
 933.6599731445 **************
   0.0000000000   0.0000000000
 535.9899902344   0.0000000000
   0.0000000000   0.0000000000
 **************   0.0000000000
   0.0000000000 **************
 587.8599853516   0.0000000000
  17.2899990082   0.0000000000
   0.0000000000   0.0000000000
 622.4399414062 328.5099792480
   0.0000000000 **************
   0.0000000000   0.0000000000
 ************** 726.1799316406
 ************** 363.0899658203
 345.7999877930  86.4499969482
 155.6099853516 **************
  51.8699989319 **************
 ************** **************
 ************** 138.3199920654
 ************** **************
 ************** 397.6699829102
 190.1900024414 501.4100036621
 ************** 103.7399978638
   0.0000000000 121.0299911499
   0.0000000000   0.0000000000
 **************  34.5799980164
 812.6299438477 **************
 ************** **************
   0.0000000000 **************
 ************** **************
   0.0000000000 674.3099975586
 242.0599822998 553.2799682617
  17.2899990082 259.3499755859
 328.5099792480 224.7699890137
 743.4700317383 **************
   0.0000000000 **************
  17.2899990082 **************
 **************   0.0000000000
 ************** 708.8899536133
 ************** 121.0299911499
 553.2799682617 **************
 ************** **************
 ************** 708.8899536133
 ************** **************
 ************** 829.9199829102
 172.8999938965   0.0000000000
  86.4499969482   0.0000000000
 **************  17.2899990082
   0.0000000000 **************
 397.6699829102 622.4399414062
 **************   0.0000000000
   0.0000000000  34.5799980164
 ************** **************
 259.3499755859  34.5799980164
 ************** 276.6399841309
   0.0000000000   0.0000000000
 708.8899536133 **************
 ************** **************
 190.1900024414 **************
 864.5000000000 **************
 ************** **************
   0.0000000000 449.5399780273
 ************** **************
 950.9499511719 **************
  34.5799980164 **************
 ************** **************
   0.0000000000 **************
 ************** **************
 **************  34.5799980164
  17.2899990082 **************
 **************   0.0000000000
 **************   0.0000000000
   0.0000000000 **************
 ************** 916.3699951172
 ************** **************
 ************** **************
   0.0000000000  51.8699989319
   0.0000000000 **************
   0.0000000000   0.0000000000
 155.6099853516   0.0000000000
   0.0000000000 570.5699462891
 **************   0.0000000000
 ************** **************
 121.0299911499  86.4499969482
 103.7399978638 **************
 ************** **************
   0.0000000000 **************
   0.0000000000 **************
   0.0000000000   0.0000000000
   0.0000000000 570.5699462891
 ************** 397.6699829102
 345.7999877930 691.5999755859
 397.6699829102   0.0000000000
 **************   0.0000000000
 ************** **************
 **************   0.0000000000
 916.3699951172 829.9199829102
 ************** **************
   0.0000000000 155.6099853516
  34.5799980164 657.0199584961
 ************** **************
   0.0000000000 **************
 ************** **************
  34.5799980164 **************
 847.2099609375 **************
  86.4499969482 **************
  86.4499969482   0.0000000000
   0.0000000000   0.0000000000
 ************** **************
   0.0000000000 743.4700317383
 605.1499633789 **************
 ************** 138.3199920654
  17.2899990082   0.0000000000
  17.2899990082 224.7699890137
 207.4799957275 **************
  34.5799980164  34.5799980164
  51.8699989319 **************
 155.6099853516   0.0000000000
   0.0000000000 242.0599822998
 466.8299865723   0.0000000000
   0.0000000000 **************
 **************   0.0000000000
   0.0000000000   0.0000000000
 **************   0.0000000000
 207.4799957275 242.0599822998
   0.0000000000   0.0000000000
  51.8699989319 **************
 ************** **************
   0.0000000000 **************
 **************   0.0000000000
 ************** **************
   0.0000000000 **************
   0.0000000000 **************
   0.0000000000 899.0799560547
   0.0000000000   0.0000000000
 ************** **************
 **************  51.8699989319
 121.0299911499 535.9899902344
   0.0000000000   0.0000000000
 **************   0.0000000000
 276.6399841309 466.8299865723
 ************** **************
 224.7699890137 **************
 **************   0.0000000000
 311.2199707031 **************
 ************** **************
 ************** 743.4700317383
 ************** 518.6999511719
 ************** **************
 639.7299804688  34.5799980164
 484.1199645996   0.0000000000
   0.0000000000 **************
 ************** **************
 ************** **************
 ************** **************
 ************** **************
 587.8599853516 **************
   0.0000000000 605.1499633789
 ************** 121.0299911499
 432.2500000000 **************
   0.0000000000 **************
 ************** 138.3199920654
 155.6099853516 **************
 ************** **************
 ************** **************
 ************** 190.1900024414
  69.1599960327 864.5000000000
 ************** 657.0199584961
  51.8699989319   0.0000000000
 449.5399780273 242.0599822998
 ************** 812.6299438477
 **************   0.0000000000
 ************** **************
 ************** **************
 708.8899536133 570.5699462891
 ************** 190.1900024414
 **************   0.0000000000
 345.7999877930 639.7299804688
 **************   0.0000000000
   0.0000000000  34.5799980164
 ************** **************
  17.2899990082 224.7699890137
   0.0000000000  69.1599960327
 242.0599822998 605.1499633789
 ************** **************
 ************** **************
 **************   0.0000000000
 **************   0.0000000000
   0.0000000000 **************
   0.0000000000  51.8699989319
 ************** 224.7699890137
  17.2899990082   0.0000000000
 ************** **************
 **************  17.2899990082
 ************** **************
 ************** **************
 ************** 570.5699462891
   0.0000000000  51.8699989319
  69.1599960327 103.7399978638
  34.5799980164  17.2899990082
   0.0000000000   0.0000000000
 674.3099975586 501.4100036621
 **************  69.1599960327
 501.4100036621 **************
  34.5799980164 103.7399978638
 ************** **************
 708.8899536133   0.0000000000
   0.0000000000 **************
  17.2899990082 **************
 ************** **************
 **************   0.0000000000
 ************** **************
 657.0199584961 397.6699829102
 ************** **************
 ************** **************
   0.0000000000 743.4700317383
 639.7299804688 **************
 **************   0.0000000000
   0.0000000000   0.0000000000
 **************   0.0000000000
   0.0000000000   0.0000000000
 **************  69.1599960327
   0.0000000000 **************
 985.5299072266 **************
 **************   0.0000000000
 207.4799957275 345.7999877930
 ************** 224.7699890137
 138.3199920654 449.5399780273
 ************** **************
   0.0000000000 **************
   0.0000000000   0.0000000000
 ************** **************
 363.0899658203   0.0000000000
   0.0000000000 **************
 328.5099792480   0.0000000000
   0.0000000000 466.8299865723
   0.0000000000 207.4799957275
 ************** 121.0299911499
 345.7999877930 **************
   0.0000000000 **************
   0.0000000000   0.0000000000
 **************   0.0000000000
 ************** 363.0899658203
 ************** **************
 708.8899536133 **************
 847.2099609375 432.2500000000
 985.5299072266 **************
  51.8699989319 **************
 ************** 172.8999938965
   0.0000000000   0.0000000000
 432.2500000000   0.0000000000
   0.0000000000  51.8699989319
 380.3800048828 276.6399841309
 **************   0.0000000000
 ************** **************
 ************** **************
 **************  34.5799980164
 ************** 172.8999938965
 449.5399780273   0.0000000000
   0.0000000000   0.0000000000
 ************** 345.7999877930
 ************** **************
 328.5099792480   0.0000000000
 ************** **************
   0.0000000000   0.0000000000
  69.1599960327 **************
   0.0000000000 190.1900024414
 ************** **************
   0.0000000000   0.0000000000
 933.6599731445   0.0000000000
 259.3499755859   0.0000000000
   0.0000000000   0.0000000000
 726.1799316406   0.0000000000
 190.1900024414   0.0000000000
   0.0000000000 847.2099609375
 812.6299438477   0.0000000000
 **************   0.0000000000
   0.0000000000   0.0000000000
 **************  34.5799980164
 ************** **************
   0.0000000000   0.0000000000
 ************** **************
 ************** **************
   0.0000000000 691.5999755859
 **************   0.0000000000
 ************** **************
   0.0000000000 311.2199707031
   0.0000000000 **************
 121.0299911499 **************
 207.4799957275   0.0000000000
 **************   0.0000000000
 ************** **************
   0.0000000000   0.0000000000
   0.0000000000 **************
 812.6299438477   0.0000000000
   0.0000000000 **************
 **************  69.1599960327
   0.0000000000 449.5399780273
 ************** 259.3499755859
 812.6299438477 **************
 812.6299438477 553.2799682617
   0.0000000000 **************
 **************   0.0000000000
 ************** 587.8599853516
 **************   0.0000000000
 ************** 172.8999938965
 ************** 155.6099853516
   0.0000000000   0.0000000000
 518.6999511719 **************
 155.6099853516 **************
 ************** **************
 ************** 639.7299804688
   0.0000000000   0.0000000000
 ************** **************
 518.6999511719 **************
 ************** **************
 ************** **************
 ************** 121.0299911499
   0.0000000000   0.0000000000
   0.0000000000 **************
 380.3800048828 276.6399841309
  86.4499969482 **************
 **************   0.0000000000
 **************   0.0000000000
 ************** **************
 985.5299072266   0.0000000000
 **************   0.0000000000
   0.0000000000   0.0000000000
 ************** 518.6999511719
  69.1599960327 **************
 **************   0.0000000000
 190.1900024414 **************
   0.0000000000   0.0000000000
   0.0000000000 **************
 121.0299911499   0.0000000000
   0.0000000000 **************
   0.0000000000   0.0000000000
 155.6099853516   0.0000000000
 207.4799957275 190.1900024414
   0.0000000000   0.0000000000
   0.0000000000  69.1599960327
  34.5799980164 535.9899902344
  34.5799980164   0.0000000000
 103.7399978638  51.8699989319
 155.6099853516 **************
 795.3399658203 518.6999511719
  34.5799980164 **************
 103.7399978638 **************
 414.9599914551 **************
 ************** **************
 933.6599731445 **************
 ************** **************
 ************** 345.7999877930
 ************** **************
   0.0000000000 207.4799957275
 **************   0.0000000000
 **************   0.0000000000
 **************   0.0000000000
  34.5799980164   0.0000000000
   0.0000000000 **************
   0.0000000000 **************
 ************** **************
 328.5099792480 **************
 **************   0.0000000000
 ************** 916.3699951172
 ************** **************
 207.4799957275 **************
 ************** **************
  17.2899990082 **************
 ************** **************
 708.8899536133 **************
 ************** **************
 ************** **************
 ************** 397.6699829102
 363.0899658203 **************
 ************** **************
  86.4499969482  17.2899990082
  34.5799980164   0.0000000000
 ************** 155.6099853516
   0.0000000000   0.0000000000
  34.5799980164 **************
 **************   0.0000000000
   0.0000000000   0.0000000000
 760.7600097656  34.5799980164
  86.4499969482 259.3499755859
   0.0000000000 172.8999938965
 985.5299072266 **************
 ************** 414.9599914551
 **************   0.0000000000
 **************   0.0000000000
 363.0899658203 **************
 ************** 207.4799957275
 829.9199829102 **************
 ************** **************
 345.7999877930 **************
 ************** **************
 ************** 224.7699890137
 ************** 138.3199920654
 **************  17.2899990082
 138.3199920654   0.0000000000
   0.0000000000   0.0000000000
 155.6099853516 950.9499511719
 ************** **************
 553.2799682617 **************
  17.2899990082 **************
 ************** 276.6399841309
 **************   0.0000000000
 **************  34.5799980164
   0.0000000000 **************
 ************** **************
 708.8899536133 **************
 ************** 916.3699951172
 ************** **************
 ************** 103.7399978638
   0.0000000000   0.0000000000
   0.0000000000 **************
  34.5799980164 **************
  17.2899990082  17.2899990082
 ************** **************
 ************** 795.3399658203
 ************** 847.2099609375
 **************   0.0000000000
 ************** **************
 276.6399841309 657.0199584961
 501.4100036621 **************
 **************  17.2899990082
 293.9299926758 916.3699951172
 ************** **************
 ************** 553.2799682617
 ************** **************
 ************** 657.0199584961
 916.3699951172 **************
 ************** **************
 **************  51.8699989319
 242.0599822998 **************
  51.8699989319 **************
 ************** **************
 293.9299926758   0.0000000000
   0.0000000000 **************
 224.7699890137 **************
  86.4499969482   0.0000000000
   0.0000000000   0.0000000000
 ************** **************
 ************** 121.0299911499
 121.0299911499   0.0000000000
 518.6999511719 207.4799957275
 293.9299926758 **************
 121.0299911499  17.2899990082
 **************   0.0000000000
  17.2899990082  34.5799980164
   0.0000000000 311.2199707031
  34.5799980164   0.0000000000
 207.4799957275 103.7399978638
 103.7399978638 950.9499511719
 328.5099792480 449.5399780273
  17.2899990082 **************
 ************** 276.6399841309
  51.8699989319 864.5000000000
 242.0599822998   0.0000000000
   0.0000000000   0.0000000000
  17.2899990082   0.0000000000
   0.0000000000 276.6399841309
   0.0000000000   0.0000000000
 380.3800048828  51.8699989319
   0.0000000000   0.0000000000
   0.0000000000 **************
 **************   0.0000000000
   0.0000000000 103.7399978638
 ************** **************
 **************  69.1599960327
   0.0000000000   0.0000000000
   0.0000000000 778.0499877930
   0.0000000000 605.1499633789
  69.1599960327   0.0000000000
   0.0000000000 **************
 535.9899902344 **************
 553.2799682617 **************
 **************  17.2899990082
 121.0299911499 **************
 ************** 380.3800048828
 345.7999877930 **************
 ************** **************
 743.4700317383 155.6099853516
 259.3499755859   0.0000000000
  69.1599960327 743.4700317383
 ************** **************
 432.2500000000 276.6399841309
   0.0000000000 **************
 ************** **************
  34.5799980164 **************
   0.0000000000  69.1599960327
 **************   0.0000000000
 ************** 778.0499877930
 ************** 795.3399658203
 ************** 172.8999938965
 ************** **************
 ************** 190.1900024414
 121.0299911499 **************
 **************  86.4499969482
   0.0000000000   0.0000000000
 691.5999755859 916.3699951172
 570.5699462891 **************
 **************   0.0000000000
 587.8599853516 **************
 ************** **************
 ************** 795.3399658203
 691.5999755859 **************
 345.7999877930 **************
 **************   0.0000000000
 ************** 950.9499511719
 ************** 138.3199920654
  34.5799980164 190.1900024414
   0.0000000000   0.0000000000
  34.5799980164 **************
 **************  69.1599960327
 ************** **************
   0.0000000000   0.0000000000
  69.1599960327 **************
 328.5099792480 **************
 293.9299926758   0.0000000000
  17.2899990082 **************
 ************** 224.7699890137
  86.4499969482 **************
 ************** 985.5299072266
 ************** **************
   0.0000000000 328.5099792480
 ************** **************
 ************** **************
 ************** **************
 ************** 760.7600097656
 778.0499877930 881.7899780273
 328.5099792480   0.0000000000
 ************** 172.8999938965
  34.5799980164   0.0000000000
 **************   0.0000000000
 **************   0.0000000000
   0.0000000000   0.0000000000
 **************   0.0000000000
 **************   0.0000000000
   0.0000000000 **************
 ************** **************
 ************** **************
 ************** **************
 172.8999938965 **************
 ************** **************
 ************** 518.6999511719
   0.0000000000   0.0000000000
 155.6099853516 **************
 ************** 726.1799316406
 ************** **************
 ************** **************
 **************  51.8699989319
 **************  34.5799980164
 345.7999877930 899.0799560547
   0.0000000000   0.0000000000
   0.0000000000 **************
   0.0000000000  69.1599960327
 ************** **************
 414.9599914551  34.5799980164
 ************** 138.3199920654
  34.5799980164   0.0000000000
 363.0899658203  86.4499969482
  17.2899990082 190.1900024414
   0.0000000000  17.2899990082
   0.0000000000   0.0000000000
   0.0000000000 605.1499633789
   0.0000000000   0.0000000000
 570.5699462891   0.0000000000
   0.0000000000  51.8699989319
 484.1199645996   0.0000000000
  17.2899990082  17.2899990082
   0.0000000000   0.0000000000
   0.0000000000 155.6099853516
 553.2799682617 **************
 449.5399780273 **************
  69.1599960327   0.0000000000
 259.3499755859   0.0000000000
   0.0000000000 570.5699462891
   0.0000000000   0.0000000000
 ************** **************
 864.5000000000 **************
 380.3800048828 **************
  69.1599960327  69.1599960327
 743.4700317383 **************
 ************** **************
 172.8999938965 **************
   0.0000000000 **************
 449.5399780273 **************
   0.0000000000 484.1199645996
 ************** 743.4700317383
 ************** **************
 829.9199829102 **************
 190.1900024414   0.0000000000
 **************   0.0000000000
